"carVIN","trueCarID","scrapeDate","scrapeURL","listingDateDiff","vehicleHistUseType","vehicleHistTitleStatus","vehicleHistNumOwners","vehicleHistAccidents","transmissionType","fuelType","driveType","engineInfo","mileage","interiorColor","exteriorColor","style","monthlyPayment","priceClassDiffDirection","priceClassDiffAmt","priceClassification","mileageRatingCity","mileageRatingHighway","accidentN","ownersN","listPrice","city","state","allFeatures"
"JTDS4RCE2LJ017213","20737A","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDS4RCE2LJ017213/2020-toyota-corolla/",-19,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","2.0L Inline-4 Gas",21800,"NA","NA","Sedan",395,NA,NA,"Fair Price","31 cty "," 40 hwy",0,1,23841,"Everett"," WA","18'' Machined Alloy Wheels ~ Front Sport Seats ~ Premium Fabric Seat Trim ~ Radio: Audio AM/FM w/Navigation ~ 4-Wheel Disc Brakes ~ 6 Speakers ~ Air Conditioning ~ Electronic Stability Control ~ Front Bucket Seats ~ Front Center Armrest ~ Leather Shift Knob ~ Spoiler ~ Tachometer ~ ABS brakes ~ Alloy wheels ~ Automatic temperature control ~ Brake assist ~ Bumpers: body-color"
"5YFEPMAE1NP336787","RR2110","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFEPMAE1NP336787/2022-toyota-corolla/",-62,"Fleet Use","Clean",1,1,"Automatic","Gas","FWD","1.8L Inline-4 Gas",9337,"NA","Wind Chill Pearl","Sedan",364,"below",-915,"Excellent Price","30 cty "," 38 hwy",1,1,21995,"Manassas"," VA","A/C Front ~ Anti-Lock Brakes ~ Driver Air Bag ~ Power Mirrors ~ Power Steering ~ Power Windows ~ Side Air Bag ~ Tilt Wheel ~ Traction Control ~ MP3 Player ~ Backup Camera ~ Keyless Entry  ~ Bluetooth Capable ~ Passenger Air Bag ~ Rear Air Bags ~ Power Door Locks ~ Cruise Control ~ AM/FM Stereo"
"JTDEPMAE8NJ210172","23930863","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDEPMAE8NJ210172/2022-toyota-corolla/",-10,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",15234,"Black","Blueprint","Sedan",398,"above",51,"Fair Price","30 cty "," 38 hwy",0,1,23998,"Fort Lauderdale"," FL","Rear View Camera ~ Auxiliary Audio Input ~ Overhead Airbags ~ Traction Control ~ Side Airbags ~ Air Conditioning ~ ABS Brakes ~ Power Locks ~ Power Mirrors ~ AM/FM Stereo ~ Satellite Radio Ready ~ Rear Defroster ~ Power Windows ~ Cloth Seats ~ Automatic Transmission ~ Lane Departure Warning ~ Android Auto ~ Bluetooth Technology"
"5YFEPRAE8LP062319","44807","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFEPRAE8LP062319/2020-toyota-corolla/",-94,"Mixed Use","Clean",2,1,"Automatic","Gas","FWD","1.8L Inline-4 Gas",49165,"NA","Classic Silver Metallic","Sedan",381,"above",NA,"High Price","30 cty "," 38 hwy",1,1,22995,"Fresno"," CA","50 State Emissions ~ Classic Silver Metallic ~ Fleet Credit"
"5YFBU4EE5DP219489","P8942A","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFBU4EE5DP219489/2013-toyota-corolla/",-3,"Rental Use","Clean",2,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",77643,"Bisque","Brown Sugar Metallic","Sedan",213,NA,NA,"Fair Price","26 cty "," 34 hwy",0,2,12863,"Delray Beach"," FL","CD player ~ Air Conditioning ~ Tachometer ~ 6 Speakers ~ AM/FM radio ~ AM/FM/CD Player w/MP3/WMA Capability ~ MP3 decoder ~ Radio data system ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Speed-sensing steering ~ Traction control ~ ABS brakes ~ Anti-whiplash front head restraints ~ Dual front impact airbags"
"5YFEPRAEXLP078036","78036","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFEPRAEXLP078036/2020-toyota-corolla/",-44,"Mixed Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",62663,"Macadamia","Super White","Sedan",322,"above",85,"Fair Price","30 cty "," 38 hwy",0,1,19450,"Fresno"," CA","4-Cyl 1.8 Liter ~ Automatic CVTi-S ~ FWD ~ Hill Start Assist Control ~ Traction Control ~ Stability Control ~ Vehicle Dynamic Control ~ ABS (4-Wheel) ~ Keyless Entry ~ Air Conditioning ~ Power Windows ~ Power Door Locks ~ Dynamic Cruise Control ~ Power Steering ~ Tilt & Telescoping Wheel ~ AM/FM Stereo ~ Bluetooth Wireless ~ Entune"
"5YFEPMAE6MP194810","24497A","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFEPMAE6MP194810/2021-toyota-corolla/",-23,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",45365,"Black","NA","Sedan",348,NA,NA,"Fair Price","30 cty "," 38 hwy",0,0,20998,"Jacksonville"," AR","Wifi Capable ~ Phone Wireless Data Link Bluetooth ~ Phone Hands Free ~ Electronic Messaging Assistance With Read Function ~ Electronic Messaging Assistance With Voice Recognition ~ Vehicle Assistance App - Roadside Assistance ~ Audio - SiriusXM Satellite Radio ~ Audio System 6 Speakers ~ Audio Streaming: Bluetooth ~ Audio Auxiliary Input: USB ~ Audio Auxiliary Input: IPod/IPhone Integration ~ Audio Auxiliary Input: Jack ~ Audio Voice Recognition ~ Audio - Radio: Touch Screen Display ~ Audio - Radio: AM/FM ~ Audio - Radio Data System ~ Audio - Speed Sensitive Volume Control ~ Audio - Antenna: Mast"
"5YFEPMAE8NP303091","303091","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/5YFEPMAE8NP303091/2022-toyota-corolla/",-20,"Fleet Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",18397,"NA","Classic Silver Metallic","Sedan",405,NA,NA,"Fair Price","30 cty "," 38 hwy",0,1,24440,"Manassas"," VA","Cruise Control Adaptive ~ Lane Keeping Assist ~ Headlights LED ~ Pre-Collision Warning System Audible Warning ~ Pre-Collision Warning System Visual Warning ~ Lane Deviation Sensors ~ Air Conditioning - Front - Automatic Climate Control ~ Traffic Sign Recognition ~ Headlights Automatic High Beam Dimmer ~ Airbags - Driver - Knee ~ Daytime Running Lights LED ~ Tail And Brake Lights LED ~ Airbags - Front - Side ~ Airbags - Front - Side Curtain ~ Airbags - Rear - Side ~ Airbags - Rear - Side Curtain ~ Electronic Messaging Assistance With Read Function ~ Electronic Messaging Assistance With Voice Recognition"
"2T1BU4EE7CC822927","25691","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/2T1BU4EE7CC822927/2012-toyota-corolla/",-20,"Personal Use","Clean",1,2,"Automatic","Gas","FWD","1.8L Inline-4 Gas",122620,"Ash","Nautical Blue Metallic","Sedan",189,NA,NA,"Great Price","26 cty "," 34 hwy",2,2,11395,"Killeen"," TX","6 Speakers ~ AM/FM radio ~ CD player ~ MP3 decoder ~ Radio: AM/FM/CD w/MP3/WMA Playback & 6 Speakers ~ Air Conditioning ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Speed-sensing steering ~ Traction control ~ ABS brakes ~ Anti-whiplash front head restraints ~ Dual front impact airbags ~ Dual front side impact airbags ~ Front anti-roll bar"
"JTDEPRAE7LJ004822","LJ004822A","2023-02-24","https://www.truecar.com//used-cars-for-sale/listing/JTDEPRAE7LJ004822/2020-toyota-corolla/",-6,"Personal Use","Clean",1,0,"Automatic","Gas","FWD","1.8L Inline-4 Gas",84853,"NA","Super White","Sedan",300,NA,NA,"Great Price","30 cty "," 38 hwy",0,0,18112,"Bastrop"," TX","6 Speakers ~ AM/FM radio: SiriusXM ~ Radio data system ~ Radio: Audio AM/FM w/Navigation ~ Air Conditioning ~ Automatic temperature control ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Four wheel independent suspension ~ Traction control ~ 4-Wheel Disc Brakes ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Emergency communication system: Safety Connect with 3-year trial"
